platemap = contents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,
A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,263c,263c,263c,263c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,263c,263c,263c,263c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,395c,395c,395c,395c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
E,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,395c,395c,395c,395c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,592c,592c,592c,592c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
G,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,592c,592c,592c,592c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
H,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,889c,889c,889c,889c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
I,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,889c,889c,889c,889c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
J,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1333c,1333c,1333c,1333c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
K,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1333c,1333c,1333c,1333c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000c,2000c,2000c,2000c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000c,2000c,2000c,2000c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3000c,3000c,3000c,3000c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
O,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3000c,3000c,3000c,3000c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
