,well,RLU,Cell_Line,Cell_Conc,Culture_Type
2,B02,65922,H841,2000.0,Adherent
3,B03,26570,H841,1000.0,Adherent
4,B04,10864,H841,500.0,Adherent
5,B05,6331,H841,250.0,Adherent
6,B06,5590,H841,125.0,Adherent
7,B07,4083,H841,62.5,Adherent
8,B08,1848,H841,31.25,Adherent
9,B09,2156,H841,0.0,Adherent
10,B10,118396,DMS454,2000.0,Adherent
11,B11,63669,DMS454,1000.0,Adherent
12,B12,34028,DMS454,500.0,Adherent
13,B13,19233,DMS454,250.0,Adherent
14,B14,8233,DMS454,125.0,Adherent
15,B15,3541,DMS454,62.5,Adherent
16,B16,1925,DMS454,31.25,Adherent
17,B17,214,DMS454,0.0,Adherent
18,C02,64132,H841,2000.0,Adherent
19,C03,23753,H841,1000.0,Adherent
20,C04,7967,H841,500.0,Adherent
21,C05,6562,H841,250.0,Adherent
22,C06,4068,H841,125.0,Adherent
23,C07,4358,H841,62.5,Adherent
24,C08,1516,H841,31.25,Adherent
25,C09,3335,H841,0.0,Adherent
26,C10,77587,DMS454,2000.0,Adherent
27,C11,50349,DMS454,1000.0,Adherent
28,C12,33507,DMS454,500.0,Adherent
29,C13,21730,DMS454,250.0,Adherent
30,C14,16235,DMS454,125.0,Adherent
31,C15,8812,DMS454,62.5,Adherent
32,C16,2750,DMS454,31.25,Adherent
33,C17,251,DMS454,0.0,Adherent
34,D02,43296,H841,2000.0,Adherent
35,D03,24065,H841,1000.0,Adherent
36,D04,15883,H841,500.0,Adherent
37,D05,5450,H841,250.0,Adherent
38,D06,3090,H841,125.0,Adherent
39,D07,7537,H841,62.5,Adherent
40,D08,2488,H841,31.25,Adherent
41,D09,2042,H841,0.0,Adherent
42,D10,103713,DMS454,2000.0,Adherent
43,D11,58392,DMS454,1000.0,Adherent
44,D12,30016,DMS454,500.0,Adherent
45,D13,9515,DMS454,250.0,Adherent
46,D14,5044,DMS454,125.0,Adherent
47,D15,3000,DMS454,62.5,Adherent
48,D16,2603,DMS454,31.25,Adherent
49,D17,43,DMS454,0.0,Adherent
50,E02,171449,H1048,2000.0,Adherent
51,E03,76382,H1048,1000.0,Adherent
52,E04,43257,H1048,500.0,Adherent
53,E05,21770,H1048,250.0,Adherent
54,E06,19089,H1048,125.0,Adherent
55,E07,7668,H1048,62.5,Adherent
56,E08,7487,H1048,31.25,Adherent
57,E09,1733,H1048,0.0,Adherent
58,E10,112664,CORL279,10000.0,Suspension
59,E11,21662,CORL279,5000.0,Suspension
60,E12,9652,CORL279,2500.0,Suspension
61,E13,6665,CORL279,1250.0,Suspension
62,E14,5085,CORL279,625.0,Suspension
63,E15,276,CORL279,312.5,Suspension
64,E16,1526,CORL279,156.25,Suspension
65,E17,983,CORL279,0.0,Suspension
66,F02,190583,H1048,2000.0,Adherent
67,F03,80764,H1048,1000.0,Adherent
68,F04,39429,H1048,500.0,Adherent
69,F05,20332,H1048,250.0,Adherent
70,F06,15730,H1048,125.0,Adherent
71,F07,2788,H1048,62.5,Adherent
72,F08,8266,H1048,31.25,Adherent
73,F09,600,H1048,0.0,Adherent
74,F10,113910,CORL279,10000.0,Suspension
75,F11,24491,CORL279,5000.0,Suspension
76,F12,16488,CORL279,2500.0,Suspension
77,F13,8343,CORL279,1250.0,Suspension
78,F14,4064,CORL279,625.0,Suspension
79,F15,4146,CORL279,312.5,Suspension
80,F16,1807,CORL279,156.25,Suspension
81,F17,485,CORL279,0.0,Suspension
82,G02,171594,H1048,2000.0,Adherent
83,G03,93475,H1048,1000.0,Adherent
84,G04,36235,H1048,500.0,Adherent
85,G05,14358,H1048,250.0,Adherent
86,G06,11900,H1048,125.0,Adherent
87,G07,9278,H1048,62.5,Adherent
88,G08,3835,H1048,31.25,Adherent
89,G09,971,H1048,0.0,Adherent
90,G10,124911,CORL279,10000.0,Suspension
91,G11,23358,CORL279,5000.0,Suspension
92,G12,13390,CORL279,2500.0,Suspension
93,G13,8623,CORL279,1250.0,Suspension
94,G14,2291,CORL279,625.0,Suspension
95,G15,9,CORL279,312.5,Suspension
96,G16,1321,CORL279,156.25,Suspension
97,G17,1534,CORL279,0.0,Suspension
98,H02,67833,DMS114,2000.0,Adherent
99,H03,24419,DMS114,1000.0,Adherent
100,H04,10849,DMS114,500.0,Adherent
101,H05,6090,DMS114,250.0,Adherent
102,H06,3351,DMS114,125.0,Adherent
103,H07,1827,DMS114,62.5,Adherent
104,H08,2526,DMS114,31.25,Adherent
105,H09,157,DMS114,0.0,Adherent
106,H10,16059,H524,10000.0,Suspension
107,H11,3080,H524,5000.0,Suspension
108,H12,2308,H524,2500.0,Suspension
109,H13,380,H524,1250.0,Suspension
110,H14,860,H524,625.0,Suspension
111,H15,2266,H524,312.5,Suspension
112,H16,1301,H524,156.25,Suspension
113,H17,329,H524,0.0,Suspension
114,I02,55941,DMS114,2000.0,Adherent
115,I03,26491,DMS114,1000.0,Adherent
116,I04,14276,DMS114,500.0,Adherent
117,I05,3592,DMS114,250.0,Adherent
118,I06,4072,DMS114,125.0,Adherent
119,I07,1972,DMS114,62.5,Adherent
120,I08,1654,DMS114,31.25,Adherent
121,I09,1086,DMS114,0.0,Adherent
122,I10,7315,H524,10000.0,Suspension
123,I11,2500,H524,5000.0,Suspension
124,I12,1888,H524,2500.0,Suspension
125,I13,810,H524,1250.0,Suspension
126,I14,412,H524,625.0,Suspension
127,I15,2543,H524,312.5,Suspension
128,I16,211,H524,156.25,Suspension
129,I17,473,H524,0.0,Suspension
130,J02,59987,DMS114,2000.0,Adherent
131,J03,27368,DMS114,1000.0,Adherent
132,J04,11570,DMS114,500.0,Adherent
133,J05,9160,DMS114,250.0,Adherent
134,J06,6362,DMS114,125.0,Adherent
135,J07,3234,DMS114,62.5,Adherent
136,J08,2995,DMS114,31.25,Adherent
137,J09,984,DMS114,0.0,Adherent
138,J10,6898,H524,10000.0,Suspension
139,J11,3214,H524,5000.0,Suspension
140,J12,1744,H524,2500.0,Suspension
141,J13,1763,H524,1250.0,Suspension
142,J14,1670,H524,625.0,Suspension
143,J15,1220,H524,312.5,Suspension
144,J16,958,H524,156.25,Suspension
145,J17,549,H524,0.0,Suspension
146,K02,332070,DMS53,2000.0,Adherent
147,K03,178822,DMS53,1000.0,Adherent
148,K04,120887,DMS53,500.0,Adherent
149,K05,48701,DMS53,250.0,Adherent
150,K06,15066,DMS53,125.0,Adherent
151,K07,9611,DMS53,62.5,Adherent
152,K08,7801,DMS53,31.25,Adherent
153,K09,1499,DMS53,0.0,Adherent
154,K10,25372,H526,10000.0,Suspension
155,K11,9619,H526,5000.0,Suspension
156,K12,4846,H526,2500.0,Suspension
157,K13,3342,H526,1250.0,Suspension
158,K14,1493,H526,625.0,Suspension
159,K15,1127,H526,312.5,Suspension
160,K16,1635,H526,156.25,Suspension
161,K17,1337,H526,0.0,Suspension
162,L02,276799,DMS53,2000.0,Adherent
163,L03,181326,DMS53,1000.0,Adherent
164,L04,89721,DMS53,500.0,Adherent
165,L05,31344,DMS53,250.0,Adherent
166,L06,19570,DMS53,125.0,Adherent
167,L07,11324,DMS53,62.5,Adherent
168,L08,7944,DMS53,31.25,Adherent
169,L09,316,DMS53,0.0,Adherent
170,L10,26573,H526,10000.0,Suspension
171,L11,9846,H526,5000.0,Suspension
172,L12,4119,H526,2500.0,Suspension
173,L13,2036,H526,1250.0,Suspension
174,L14,3664,H526,625.0,Suspension
175,L15,1005,H526,312.5,Suspension
176,L16,1909,H526,156.25,Suspension
177,L17,318,H526,0.0,Suspension
178,M02,431950,DMS53,2000.0,Adherent
179,M03,141003,DMS53,1000.0,Adherent
180,M04,57665,DMS53,500.0,Adherent
181,M05,40180,DMS53,250.0,Adherent
182,M06,26344,DMS53,125.0,Adherent
183,M07,12644,DMS53,62.5,Adherent
184,M08,6582,DMS53,31.25,Adherent
185,M09,541,DMS53,0.0,Adherent
186,M10,21027,H526,10000.0,Suspension
187,M11,7026,H526,5000.0,Suspension
188,M12,5819,H526,2500.0,Suspension
189,M13,1876,H526,1250.0,Suspension
190,M14,1692,H526,625.0,Suspension
191,M15,354,H526,312.5,Suspension
192,M16,456,H526,156.25,Suspension
193,M17,172,H526,0.0,Suspension
