well	cell.line	drug1	drug1.conc	drug1.units
A01				M
A02				M
A03				M
A04				M
A05				M
A06				M
A07				M
A08				M
A09				M
A10				M
A11				M
A12				M
A13				M
A14				M
A15				M
A16				M
A17				M
A18				M
A19				M
A20				M
A21				M
A22				M
A23				M
A24				M
B01				M
B02				M
B03				M
B04				M
B05				M
B06				M
B07				M
B08				M
B09				M
B10				M
B11				M
B12				M
B13				M
B14				M
B15				M
B16				M
B17				M
B18				M
B19				M
B20				M
B21				M
B22				M
B23				M
B24				M
C01				M
C02	WM1799	TAK-901	0	M
C03	WM1799	TAK-901	0.000009960000000000001	M
C04	WM1799	TAK-901	0.0000024900000000000003	M
C05	WM1799	TAK-901	6.23e-7	M
C06	WM1799	TAK-901	1.56e-7	M
C07	WM1799	TAK-901	3.89e-8	M
C08	WM1799	TAK-901	9.340000000000001e-9	M
C09	WM1799	TAK-901	2.33e-9	M
C10	WM1799	TAK-901	6.23e-10	M
C11	WM1799	TAK-901	1.56e-10	M
C12	WM1799	TAK-901	7.78e-11	M
C13	WM1799	YM-155	0	M
C14	WM1799	YM-155	0.000009960000000000001	M
C15	WM1799	YM-155	0.0000024900000000000003	M
C16	WM1799	YM-155	1.56e-7	M
C17	WM1799	YM-155	1.56e-7	M
C18	WM1799	YM-155	3.89e-8	M
C19	WM1799	YM-155	9.340000000000001e-9	M
C20	WM1799	YM-155	2.33e-9	M
C21	WM1799	YM-155	6.23e-10	M
C22	WM1799	YM-155	1.56e-10	M
C23	WM1799	YM-155	7.78e-11	M
C24				M
D01				M
D02	WM1799	TAK-901	0	M
D03	WM1799	TAK-901	0.000009960000000000001	M
D04	WM1799	TAK-901	0.0000024900000000000003	M
D05	WM1799	TAK-901	6.23e-7	M
D06	WM1799	TAK-901	1.56e-7	M
D07	WM1799	TAK-901	3.89e-8	M
D08	WM1799	TAK-901	9.340000000000001e-9	M
D09	WM1799	TAK-901	2.33e-9	M
D10	WM1799	TAK-901	6.23e-10	M
D11	WM1799	TAK-901	1.56e-10	M
D12	WM1799	TAK-901	7.78e-11	M
D13	WM1799	YM-155	0	M
D14	WM1799	YM-155	0.000009960000000000001	M
D15	WM1799	YM-155	0.0000024900000000000003	M
D16	WM1799	YM-155	1.56e-7	M
D17	WM1799	YM-155	1.56e-7	M
D18	WM1799	YM-155	3.89e-8	M
D19	WM1799	YM-155	9.340000000000001e-9	M
D20	WM1799	YM-155	2.33e-9	M
D21	WM1799	YM-155	6.23e-10	M
D22	WM1799	YM-155	1.56e-10	M
D23	WM1799	YM-155	7.78e-11	M
D24				M
E01				M
E02	WM1799	TAK-901	0	M
E03	WM1799	TAK-901	0.000009960000000000001	M
E04	WM1799	TAK-901	0.0000024900000000000003	M
E05	WM1799	TAK-901	6.23e-7	M
E06	WM1799	TAK-901	1.56e-7	M
E07	WM1799	TAK-901	3.89e-8	M
E08	WM1799	TAK-901	9.340000000000001e-9	M
E09	WM1799	TAK-901	2.33e-9	M
E10	WM1799	TAK-901	6.23e-10	M
E11	WM1799	TAK-901	1.56e-10	M
E12	WM1799	TAK-901	7.78e-11	M
E13	WM1799	YM-155	0	M
E14	WM1799	YM-155	0.000009960000000000001	M
E15	WM1799	YM-155	0.0000024900000000000003	M
E16	WM1799	YM-155	1.56e-7	M
E17	WM1799	YM-155	1.56e-7	M
E18	WM1799	YM-155	3.89e-8	M
E19	WM1799	YM-155	9.340000000000001e-9	M
E20	WM1799	YM-155	2.33e-9	M
E21	WM1799	YM-155	6.23e-10	M
E22	WM1799	YM-155	1.56e-10	M
E23	WM1799	YM-155	7.78e-11	M
E24				M
F01				M
F02	WM1799	SCH-1473759	0	M
F03	WM1799	SCH-1473759	0.000009960000000000001	M
F04	WM1799	SCH-1473759	0.0000024900000000000003	M
F05	WM1799	SCH-1473759	6.23e-7	M
F06	WM1799	SCH-1473759	1.56e-7	M
F07	WM1799	SCH-1473759	3.89e-8	M
F08	WM1799	SCH-1473759	9.340000000000001e-9	M
F09	WM1799	SCH-1473759	2.33e-9	M
F10	WM1799	SCH-1473759	6.23e-10	M
F11	WM1799	SCH-1473759	1.56e-10	M
F12	WM1799	SCH-1473759	7.78e-11	M
F13	WM1799	AZD-1152	0	M
F14	WM1799	AZD-1152	0.000009960000000000001	M
F15	WM1799	AZD-1152	0.0000024900000000000003	M
F16	WM1799	AZD-1152	1.56e-7	M
F17	WM1799	AZD-1152	1.56e-7	M
F18	WM1799	AZD-1152	3.89e-8	M
F19	WM1799	AZD-1152	9.340000000000001e-9	M
F20	WM1799	AZD-1152	2.33e-9	M
F21	WM1799	AZD-1152	6.23e-10	M
F22	WM1799	AZD-1152	1.56e-10	M
F23	WM1799	AZD-1152	7.78e-11	M
F24				M
G01				M
G02	WM1799	SCH-1473759	0	M
G03	WM1799	SCH-1473759	0.000009960000000000001	M
G04	WM1799	SCH-1473759	0.0000024900000000000003	M
G05	WM1799	SCH-1473759	6.23e-7	M
G06	WM1799	SCH-1473759	1.56e-7	M
G07	WM1799	SCH-1473759	3.89e-8	M
G08	WM1799	SCH-1473759	9.340000000000001e-9	M
G09	WM1799	SCH-1473759	2.33e-9	M
G10	WM1799	SCH-1473759	6.23e-10	M
G11	WM1799	SCH-1473759	1.56e-10	M
G12	WM1799	SCH-1473759	7.78e-11	M
G13	WM1799	AZD-1152	0	M
G14	WM1799	AZD-1152	0.000009960000000000001	M
G15	WM1799	AZD-1152	0.0000024900000000000003	M
G16	WM1799	AZD-1152	1.56e-7	M
G17	WM1799	AZD-1152	1.56e-7	M
G18	WM1799	AZD-1152	3.89e-8	M
G19	WM1799	AZD-1152	9.340000000000001e-9	M
G20	WM1799	AZD-1152	2.33e-9	M
G21	WM1799	AZD-1152	6.23e-10	M
G22	WM1799	AZD-1152	1.56e-10	M
G23	WM1799	AZD-1152	7.78e-11	M
G24				M
H01				M
H02	WM1799	SCH-1473759	0	M
H03	WM1799	SCH-1473759	0.000009960000000000001	M
H04	WM1799	SCH-1473759	0.0000024900000000000003	M
H05	WM1799	SCH-1473759	6.23e-7	M
H06	WM1799	SCH-1473759	1.56e-7	M
H07	WM1799	SCH-1473759	3.89e-8	M
H08	WM1799	SCH-1473759	9.340000000000001e-9	M
H09	WM1799	SCH-1473759	2.33e-9	M
H10	WM1799	SCH-1473759	6.23e-10	M
H11	WM1799	SCH-1473759	1.56e-10	M
H12	WM1799	SCH-1473759	7.78e-11	M
H13	WM1799	AZD-1152	0	M
H14	WM1799	AZD-1152	0.000009960000000000001	M
H15	WM1799	AZD-1152	0.0000024900000000000003	M
H16	WM1799	AZD-1152	1.56e-7	M
H17	WM1799	AZD-1152	1.56e-7	M
H18	WM1799	AZD-1152	3.89e-8	M
H19	WM1799	AZD-1152	9.340000000000001e-9	M
H20	WM1799	AZD-1152	2.33e-9	M
H21	WM1799	AZD-1152	6.23e-10	M
H22	WM1799	AZD-1152	1.56e-10	M
H23	WM1799	AZD-1152	7.78e-11	M
H24				M
I01				M
I02	WM1799	trametinib	0	M
I03	WM1799	trametinib	0.000009960000000000001	M
I04	WM1799	trametinib	0.0000024900000000000003	M
I05	WM1799	trametinib	6.23e-7	M
I06	WM1799	trametinib	1.56e-7	M
I07	WM1799	trametinib	3.89e-8	M
I08	WM1799	trametinib	9.340000000000001e-9	M
I09	WM1799	trametinib	2.33e-9	M
I10	WM1799	trametinib	6.23e-10	M
I11	WM1799	trametinib	1.56e-10	M
I12	WM1799	trametinib	7.78e-11	M
I13	WM1799	pimasertib	0	M
I14	WM1799	pimasertib	0.000009960000000000001	M
I15	WM1799	pimasertib	0.0000024900000000000003	M
I16	WM1799	pimasertib	1.56e-7	M
I17	WM1799	pimasertib	1.56e-7	M
I18	WM1799	pimasertib	3.89e-8	M
I19	WM1799	pimasertib	9.340000000000001e-9	M
I20	WM1799	pimasertib	2.33e-9	M
I21	WM1799	pimasertib	6.23e-10	M
I22	WM1799	pimasertib	1.56e-10	M
I23	WM1799	pimasertib	7.78e-11	M
I24				M
J01				M
J02	WM1799	trametinib	0	M
J03	WM1799	trametinib	0.000009960000000000001	M
J04	WM1799	trametinib	0.0000024900000000000003	M
J05	WM1799	trametinib	6.23e-7	M
J06	WM1799	trametinib	1.56e-7	M
J07	WM1799	trametinib	3.89e-8	M
J08	WM1799	trametinib	9.340000000000001e-9	M
J09	WM1799	trametinib	2.33e-9	M
J10	WM1799	trametinib	6.23e-10	M
J11	WM1799	trametinib	1.56e-10	M
J12	WM1799	trametinib	7.78e-11	M
J13	WM1799	pimasertib	0	M
J14	WM1799	pimasertib	0.000009960000000000001	M
J15	WM1799	pimasertib	0.0000024900000000000003	M
J16	WM1799	pimasertib	1.56e-7	M
J17	WM1799	pimasertib	1.56e-7	M
J18	WM1799	pimasertib	3.89e-8	M
J19	WM1799	pimasertib	9.340000000000001e-9	M
J20	WM1799	pimasertib	2.33e-9	M
J21	WM1799	pimasertib	6.23e-10	M
J22	WM1799	pimasertib	1.56e-10	M
J23	WM1799	pimasertib	7.78e-11	M
J24				M
K01				M
K02	WM1799	trametinib	0	M
K03	WM1799	trametinib	0.000009960000000000001	M
K04	WM1799	trametinib	0.0000024900000000000003	M
K05	WM1799	trametinib	6.23e-7	M
K06	WM1799	trametinib	1.56e-7	M
K07	WM1799	trametinib	3.89e-8	M
K08	WM1799	trametinib	9.340000000000001e-9	M
K09	WM1799	trametinib	2.33e-9	M
K10	WM1799	trametinib	6.23e-10	M
K11	WM1799	trametinib	1.56e-10	M
K12	WM1799	trametinib	7.78e-11	M
K13	WM1799	pimasertib	0	M
K14	WM1799	pimasertib	0.000009960000000000001	M
K15	WM1799	pimasertib	0.0000024900000000000003	M
K16	WM1799	pimasertib	1.56e-7	M
K17	WM1799	pimasertib	1.56e-7	M
K18	WM1799	pimasertib	3.89e-8	M
K19	WM1799	pimasertib	9.340000000000001e-9	M
K20	WM1799	pimasertib	2.33e-9	M
K21	WM1799	pimasertib	6.23e-10	M
K22	WM1799	pimasertib	1.56e-10	M
K23	WM1799	pimasertib	7.78e-11	M
K24				M
L01				M
L02	WM1799	SNS-314	0	M
L03	WM1799	SNS-314	0.000009960000000000001	M
L04	WM1799	SNS-314	0.0000024900000000000003	M
L05	WM1799	SNS-314	6.23e-7	M
L06	WM1799	SNS-314	1.56e-7	M
L07	WM1799	SNS-314	3.89e-8	M
L08	WM1799	SNS-314	9.340000000000001e-9	M
L09	WM1799	SNS-314	2.33e-9	M
L10	WM1799	SNS-314	6.23e-10	M
L11	WM1799	SNS-314	1.56e-10	M
L12	WM1799	SNS-314	7.78e-11	M
L13	WM1799	GSK2879552	0	M
L14	WM1799	GSK2879552	0.000009960000000000001	M
L15	WM1799	GSK2879552	0.0000024900000000000003	M
L16	WM1799	GSK2879552	1.56e-7	M
L17	WM1799	GSK2879552	1.56e-7	M
L18	WM1799	GSK2879552	3.89e-8	M
L19	WM1799	GSK2879552	9.340000000000001e-9	M
L20	WM1799	GSK2879552	2.33e-9	M
L21	WM1799	GSK2879552	6.23e-10	M
L22	WM1799	GSK2879552	1.56e-10	M
L23	WM1799	GSK2879552	7.78e-11	M
L24				M
M01				M
M02	WM1799	SNS-314	0	M
M03	WM1799	SNS-314	0.000009960000000000001	M
M04	WM1799	SNS-314	0.0000024900000000000003	M
M05	WM1799	SNS-314	6.23e-7	M
M06	WM1799	SNS-314	1.56e-7	M
M07	WM1799	SNS-314	3.89e-8	M
M08	WM1799	SNS-314	9.340000000000001e-9	M
M09	WM1799	SNS-314	2.33e-9	M
M10	WM1799	SNS-314	6.23e-10	M
M11	WM1799	SNS-314	1.56e-10	M
M12	WM1799	SNS-314	7.78e-11	M
M13	WM1799	GSK2879552	0	M
M14	WM1799	GSK2879552	0.000009960000000000001	M
M15	WM1799	GSK2879552	0.0000024900000000000003	M
M16	WM1799	GSK2879552	1.56e-7	M
M17	WM1799	GSK2879552	1.56e-7	M
M18	WM1799	GSK2879552	3.89e-8	M
M19	WM1799	GSK2879552	9.340000000000001e-9	M
M20	WM1799	GSK2879552	2.33e-9	M
M21	WM1799	GSK2879552	6.23e-10	M
M22	WM1799	GSK2879552	1.56e-10	M
M23	WM1799	GSK2879552	7.78e-11	M
M24				M
N01				M
N02	WM1799	SNS-314	0	M
N03	WM1799	SNS-314	0.000009960000000000001	M
N04	WM1799	SNS-314	0.0000024900000000000003	M
N05	WM1799	SNS-314	6.23e-7	M
N06	WM1799	SNS-314	1.56e-7	M
N07	WM1799	SNS-314	3.89e-8	M
N08	WM1799	SNS-314	9.340000000000001e-9	M
N09	WM1799	SNS-314	2.33e-9	M
N10	WM1799	SNS-314	6.23e-10	M
N11	WM1799	SNS-314	1.56e-10	M
N12	WM1799	SNS-314	7.78e-11	M
N13	WM1799	GSK2879552	0	M
N14	WM1799	GSK2879552	0.000009960000000000001	M
N15	WM1799	GSK2879552	0.0000024900000000000003	M
N16	WM1799	GSK2879552	1.56e-7	M
N17	WM1799	GSK2879552	1.56e-7	M
N18	WM1799	GSK2879552	3.89e-8	M
N19	WM1799	GSK2879552	9.340000000000001e-9	M
N20	WM1799	GSK2879552	2.33e-9	M
N21	WM1799	GSK2879552	6.23e-10	M
N22	WM1799	GSK2879552	1.56e-10	M
N23	WM1799	GSK2879552	7.78e-11	M
N24				M
O01				M
O02				M
O03				M
O04				M
O05				M
O06				M
O07				M
O08				M
O09				M
O10				M
O11				M
O12				M
O13				M
O14				M
O15				M
O16				M
O17				M
O18				M
O19				M
O20				M
O21				M
O22				M
O23				M
O24				M
P01				M
P02				M
P03				M
P04				M
P05				M
P06				M
P07				M
P08				M
P09				M
P10				M
P11				M
P12				M
P13				M
P14				M
P15				M
P16				M
P17				M
P18				M
P19				M
P20				M
P21				M
P22				M
P23				M
P24				M
